0.25	2.0892961308540495e-6
0.3	1.584893192461085e-6
0.35	1.3335214321633213e-6
0.4	1.1748975549395207e-6
0.45	1.0592537251773006e-6
0.5	9.54992586021429e-7
0.55	8.413951416451758e-7
0.6000000000000001	7.943282347242692e-7
0.65	7.413102413009162e-7
0.7	6.91830970918939e-7
0.7	6.91830970918939e-7
0.71	6.91830970918939e-7
0.72	6.606934480076072e-7
0.73	6.606934480076072e-7
0.74	6.382634861905417e-7
0.75	6.30957344480184e-7
0.76	6.30957344480184e-7
0.77	6.30957344480184e-7
0.7799999999999999	6.30957344480184e-7
0.7899999999999999	6.095368972401681e-7
0.7999999999999999	6.095368972401681e-7
0.8099999999999999	5.888436553556088e-7
0.82	5.75439937337159e-7
0.83	5.75439937337159e-7
0.84	5.75439937337159e-7
0.85	5.75439937337159e-7
0.85	5.75439937337159e-7
0.86	5.623413251903582e-7
0.87	5.495408738576102e-7
0.88	5.308844442309934e-7
0.89	5.308844442309934e-7
0.9	5.308844442309934e-7
0.9099999999999999	5.128613839913595e-7
0.9199999999999999	5.128613839913595e-7
0.9299999999999999	5.011872336272653e-7
0.94	5.011872336272653e-7
0.95	5.011872336272653e-7
0.96	5.011872336272653e-7
0.97	5.011872336272653e-7
0.98	4.7863009232264e-7
0.99	4.7863009232264e-7
1.	4.7863009232264e-7
1.1	4.2169650342859173e-7
1.11	4.2169650342859173e-7
1.12	4.168693834703329e-7
1.1300000000000001	4.120975190973262e-7
1.1400000000000001	4.120975190973262e-7
1.1500000000000001	4.120975190973262e-7
1.1600000000000001	4.120975190973262e-7
1.1700000000000002	4.120975190973262e-7
1.1800000000000002	4.120975190973262e-7
1.1900000000000002	4.120975190973262e-7
1.2000000000000002	4.120975190973262e-7
1.2100000000000002	4.120975190973262e-7
1.2200000000000002	3.9810717055349205e-7
1.23	3.9810717055349205e-7
1.2400000000000002	3.9810717055349205e-7
1.25	3.758374042884474e-7
1.25	3.758374042884474e-7
1.26	3.758374042884474e-7
1.27	3.758374042884474e-7
1.28	3.758374042884474e-7
1.29	3.758374042884474e-7
1.3	3.758374042884474e-7
1.31	3.758374042884474e-7
1.32	3.758374042884474e-7
1.33	3.758374042884474e-7
1.34	3.890451449942924e-7
1.35	3.9355007545577e-7
1.36	3.9810717055349205e-7
1.37	3.9810717055349205e-7
1.38	3.9810717055349205e-7
1.3900000000000001	3.9355007545577e-7
1.4	3.801893963205317e-7
1.41	3.758374042884474e-7
1.42	3.6307805477010915e-7
1.43	3.467368504525366e-7
1.44	3.388441561392007e-7
1.45	3.3113112148258804e-7
1.46	3.3113112148258804e-7
1.47	3.3113112148258804e-7
1.48	3.1622776601683405e-7
1.49	3.1622776601683405e-7
1.5	3.1622776601683405e-7
1.5	3.1622776601683405e-7
1.55	3.1260793671240195e-7
1.6	2.9512092266664264e-7
1.65	2.9512092266664264e-7
1.7	2.754228703338152e-7
1.75	2.6607250597987866e-7
1.8	2.6607250597987866e-7
1.8	2.6607250597987866e-7
1.81	2.6607250597987866e-7
1.82	2.6607250597987866e-7
1.83	2.6607250597987866e-7
1.84	2.6607250597987866e-7
1.85	2.6607250597987866e-7
1.86	2.6607250597987866e-7
1.87	2.6607250597987866e-7
1.8800000000000001	2.6607250597987866e-7
1.8900000000000001	2.6607250597987866e-7
1.9000000000000001	2.570395782768933e-7
1.9100000000000001	2.570395782768933e-7
1.92	2.570395782768933e-7
1.9300000000000002	2.511886431509551e-7
1.94	2.511886431509551e-7
1.95	2.511886431509551e-7
1.96	2.511886431509551e-7
1.97	2.511886431509551e-7
1.98	2.398832919019441e-7
1.99	2.398832919019441e-7
2.	2.398832919019441e-7
2.	2.398832919019441e-7
2.05	2.29086765276777e-7
2.1	2.2387211385683285e-7
2.15	2.2387211385683285e-7
2.2	2.137962089502215e-7
2.2	2.137962089502215e-7
2.21	2.137962089502215e-7
2.22	2.137962089502215e-7
2.23	2.137962089502215e-7
2.24	2.137962089502215e-7
2.25	2.137962089502215e-7
2.2600000000000002	2.137962089502215e-7
2.27	2.137962089502215e-7
2.2800000000000002	2.137962089502215e-7
2.29	2.137962089502215e-7
2.3000000000000003	2.137962089502215e-7
2.31	2.137962089502215e-7
2.3200000000000003	2.137962089502215e-7
2.33	2.1877616239494087e-7
2.3400000000000003	2.2387211385683285e-7
2.35	2.2387211385683285e-7
2.3600000000000003	2.2387211385683285e-7
2.37	2.1877616239494087e-7
2.3800000000000003	2.1877616239494087e-7
2.39	2.137962089502215e-7
2.4000000000000004	2.137962089502215e-7
2.41	2.137962089502215e-7
2.4200000000000004	2.0892961308539982e-7
2.43	2.0892961308539982e-7
2.4400000000000004	1.9952623149688583e-7
2.45	1.9952623149688583e-7
2.46	1.9952623149688583e-7
2.47	1.9952623149688583e-7
2.4800000000000004	1.9054607179632522e-7
2.49	1.883649089489798e-7
2.5	1.883649089489798e-7
2.5	1.883649089489798e-7
2.55	1.819700858609975e-7
2.6	1.819700858609975e-7
2.65	1.819700858609975e-7
2.7	1.819700858609975e-7
2.7	1.819700858609975e-7
2.71	1.819700858609975e-7
2.72	1.819700858609975e-7
2.73	1.819700858609975e-7
2.74	1.819700858609975e-7
2.75	1.819700858609975e-7
2.7600000000000002	1.883649089489798e-7
2.77	1.883649089489798e-7
2.7800000000000002	1.883649089489798e-7
2.79	1.883649089489798e-7
2.8000000000000003	1.9054607179632522e-7
2.81	1.9054607179632522e-7
2.8200000000000003	1.9054607179632522e-7
2.83	1.9054607179632522e-7
2.8400000000000003	1.9054607179632522e-7
2.85	1.9054607179632522e-7
